 UNIVERSIDAD POLITÉCNICA DE PACHUCA
Página :    1
UPP040316H43ACHUCA CD. SAHAGUN
               LGO
 Balanza de comprobación al 30/Septiembre/13
 Cuenta inicial : 1-0-0-0-000-000-000000
 Cuenta final   : 6-3-3-0-000-000-000000
 Tipo de moneda :
 Todas

 Núm. cuenta               Descripción                        Saldo anterior          Debe             Haber          Saldo actual

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
 1-0-0-0-000-000-000000    ACTIVO                             145,137,052.11       21,677,573.93     22,929,370.46    143,885,255.58                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-0-0-000-000-000000      ACTIVO CIRCULANTE                 46,237,960.45       20,649,195.61     22,774,460.46     44,112,695.60                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-0-000-000-000000        EFECTIVO Y EQUIVALENTES         44,554,395.72       16,468,347.19     18,420,926.86     42,601,816.05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-1-000-000-000000          EFECTIVO                          25,000.00                0.00              0.00         25,000.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-1-002-000-000000            FONDO FIJO                      25,000.00                0.00              0.00         25,000.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-1-002-004-000000              JOSE ENOCH ALFARO MOR         15,000.00                0.00              0.00         15,000.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-1-002-007-000000              MANUEL VIVANCO CABECE         10,000.00                0.00              0.00         10,000.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-000-000-000000          BANCOS                        44,529,395.72       16,468,347.19     18,420,926.86     42,576,816.05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-000-000000            BBVA BANCOMER                  889,952.22          398,489.03        397,474.37        890,966.88                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-004-000000              CIENCIA BASICA MEDINA          3,943.51                0.00              0.00          3,943.51                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-012-000000              CTA 0166098215 JORGE          21,566.19                0.00              0.00         21,566.19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
