 UNIVERSIDAD POLITÉCNICA DE PACHUCA
Página :    1
UPP040316H43ACHUCA CD. SAHAGUN
               LGO
 Balanza de comprobación al 30/Junio/15
 Cuenta inicial : 1-0-0-0-000-000-000000
 Cuenta final   : 7-5-0-0-000-000-000000
 Tipo de moneda :
 Todas

 Núm. cuenta               Descripción                        Saldo anterior          Debe             Haber          Saldo actual

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
 1-0-0-0-000-000-000000    ACTIVO                             150,349,899.57       30,767,912.97     31,723,373.90    149,394,438.64                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-0-0-000-000-000000      ACTIVO CIRCULANTE                 46,719,478.63       30,766,473.16     30,345,638.72     47,140,313.07                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-0-000-000-000000        EFECTIVO Y EQUIVALENTES         21,822,692.55       22,183,192.21     21,891,364.82     22,114,519.94                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-1-000-000-000000          EFECTIVO                          33,000.00                0.00              0.00         33,000.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-1-002-000-000000            FONDO FIJO                      33,000.00                0.00              0.00         33,000.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-1-002-004-000000              JOSE ENOCH ALFARO MOR         20,000.00                0.00              0.00         20,000.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-1-002-008-000000              NORMA YOLANDA CERVANT         10,000.00                0.00              0.00         10,000.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-1-002-009-000000              DOMINGO DOMINGUEZ TRE          3,000.00                0.00              0.00          3,000.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-000-000-000000          BANCOS                        21,789,692.55       22,183,192.21     21,891,364.82     22,081,519.94                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-000-000000            BBVA BANCOMER                  462,621.82        1,594,495.16      1,594,447.78        462,669.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-004-000000              CIENCIA BASICA MEDINA          9,936.69                0.00              0.00          9,936.69                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
