 UNIVERSIDAD POLITÉCNICA DE PACHUCA
Página :    1
UPP040316H43ACHUCA CD. SAHAGUN
               LGO
 Balanza de comprobación al 31/Diciembre/16
 Cuenta inicial : 1-0-0-0-000-000-000000
 Cuenta final   : 6-3-3-0-000-000-000000
 Tipo de moneda :
 Todas
 A
 Núm. cuenta               Descripción                        Saldo anterior          Debe             Haber          Saldo actual
 A
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
 1-0-0-0-000-000-000000    ACTIVO                             142,640,044.76       57,645,788.77     65,308,921.00    134,976,912.53                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-0-0-000-000-000000      ACTIVO CIRCULANTE                 50,182,665.15       49,819,528.20     63,720,935.38     36,281,257.97                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-0-000-000-000000        EFECTIVO Y EQUIVALENTES         34,167,926.73       43,141,335.66     53,992,545.23     23,316,717.16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-1-000-000-000000          EFECTIVO                          33,000.00                0.00         33,000.00              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-1-002-000-000000            FONDO FIJO                      33,000.00                0.00         33,000.00              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-1-002-004-000000              JOSE ENOCH ALFARO MOR         20,000.00                0.00         20,000.00              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-1-002-008-000000              NORMA YOLANDA CERVANT         10,000.00                0.00         10,000.00              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-1-002-009-000000              DOMINGO DOMINGUEZ TRE          3,000.00                0.00          3,000.00              0.00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-000-000-000000          BANCOS                        34,134,926.73       43,141,335.66     53,959,545.23     23,316,717.16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
 1-1-1-2-001-000-000000            BBVA BANCOMER                  390,221.41              108.34              0.00        390,329.75                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
